event_type,template
ジャンル特化グルコン（事前告知）,"@everyone

## 明日{{date}}の{{time}}よりジャンル特化グルコンが開催されます📢

今回の講師
ーーーーーーーーーーーーーーーーーー
### {{genre}}
### 講師：{{teacher_name}}
{{instagram_url}}
ーーーーーーーーーーーーーーーーーー

### ジャンル特化グルコンではリアルタイムで講師に質問・添削を受けることができます！
該当ジャンル以外の方もご参加可能です✨

質問をする際は【必ず】下記の項目に沿ってグルコン中にZoomチャットへ送ってください🌈
質問内容は事前に作成しておくとスムーズです！

------------------------------------------
【名前とクラス名】
【アカウントURL】
【質問ジャンル】 （例：初期設計、プロフィール、リール、ストーリーズ、マネタイズなど）
【具体的な質問内容】 （例：フォロー率が10％以下のため、投稿の改善点についてご意見いただきたいです）
【添削対象の投稿URL】
【参考にしたアカウント/投稿URL】（任意）
------------------------------------------

### 【📢グルコンルール】
・1分以上、質問や添削依頼が届かない場合は終了とさせていただきます。
・予定の1時間より早めに終了する場合がございますのでご了承ください。
・質問の回答があった場合はできるだけミュート解除をして、会話形式でご参加ください。
・質問回答は先着順となり、時間の都合上全ての質問にお答えできない場合がございますのでお早めにお送りいただくことを推奨いたします✨

### 【Zoom参加の際のお願い】
Zoomの表示名のご変更をお願いいたします！お名前＋現役生の方はクラス名、卒業生の方は卒業生と記載してください🙇🏻‍♀️

▼ Zoomリンクはこちら ▼
{{zoom_url}}
ミーティング ID: {{meeting_id}}
パスコード: {{passcode}}

⚠️講師のSNSに個別でDMで質問するのはご遠慮ください。"
ジャンル特化グルコン（間もなく開始）,"@everyone

# まもなくジャンル特化グルコンが始まります🌈

### {{genre}}
### 講師：{{teacher_name}}
{{instagram_url}}

▼以下のリンクからご参加ください▼
{{zoom_url}}
ミーティング ID: {{meeting_id}}
パスコード: {{passcode}}

### 【Zoom参加の際のお願い】
Zoomの表示名のご変更をお願いいたします！
お名前＋現役生の方はクラス名、卒業生の方は卒業生と記載してください🙇🏻‍♀️

⚠️講師のSNSに個別でDMで質問するのはご遠慮ください。"
生徒対談（事前告知）,"@everyone

## 明日{{date}}の{{time}}より生徒対談が開催されます‼️

生徒対談では、講師とSnsClub生による対談を行います✨️

今回のゲスト
ーーーーーーーーーーーーーーーーーー
## {{teacher_name}}
{{instagram_url}}
ーーーーーーーーーーーーーーーーーー

✅当日の内容
・パネルディスカッション
・生徒さんからの質問コーナー

皆様、予定を空けてご参加ください🌈

▼zoomリンクはこちら▼
{{zoom_url}}
ミーティング ID: {{meeting_id}}
パスコード: {{passcode}}"
生徒対談（間もなく開始）,"@everyone

# まもなく{{time}}より生徒対談が始まります🌈

▼以下のリンクからご参加ください▼
{{zoom_url}}
ミーティング ID: {{meeting_id}}
パスコード: {{passcode}}"
講師対談（事前告知）,"@everyone

## 明日{{date}}の{{time}}より講師対談が開催されます‼️

講師対談では、マネタイズ講座の陸統括と講師による対談を行います✨️

今回のゲスト
ーーーーーーーーーーーーーーーーーー
## 講師：{{teacher_name}}
{{instagram_url}}
ーーーーーーーーーーーーーーーーーー

✅当日の内容
・パネルディスカッション
・生徒さんからの質問コーナー

皆様、予定を空けてご参加ください🌈

▼zoomリンクはこちら▼
{{zoom_url}}
ミーティング ID: {{meeting_id}}
パスコード: {{passcode}}"
講師対談（間もなく開始）,"@everyone

# まもなく{{time}}より講師対談が始まります🌈

▼以下のリンクからご参加ください▼
{{zoom_url}}
ミーティング ID: {{meeting_id}}
パスコード: {{passcode}}

### 【Zoom参加の際のお願い】
Zoomの表示名のご変更をお願いいたします！
お名前＋現役生の方はクラス名、卒業生の方は卒業生と記載してください🙇🏻‍♀️"
オン会（事前告知）,"@everyone

# 明日{{date}}の{{time}}よりオン会が開催されます🌈
オン会とは「生徒同士の交流」を目的としたオンラインイベントです！
フォロワー数別やジャンル別に分かれて、仲間と情報交換や悩み相談をしていただくことが可能です✨

▼{{time_jp}}になりましたら、以下のリンクからご参加ください▼
{{zoom_url}}
ミーティング ID: {{meeting_id}}
パスコード: {{passcode}}

参加予定の方は👍を押していただけますと幸いです！"
オン会（間もなく開始）,"@everyone

# 間もなく{{time}}よりオン会が始まります🌈

▼{{time_jp}}になりましたら、以下のリンクからご参加ください▼
{{zoom_url}}
ミーティング ID: {{meeting_id}}
パスコード: {{passcode}}"

万垢生限定オン会（事前告知）,"@everyone

# 明日{{date}}の{{time}}から万垢生&講師限定オン会が開催されます🌈
この限定オン会では、
ジャンル別・マネタイズ種類別・ランダムでグループに分かれて
万垢ならではの情報交換や相談を行っていただけます！

是非お気軽にご参加ください！
参加予定の方は👍🏻ボタンを押してください✨

▼Zoomリンクはこちら▼
{{zoom_url}}
ミーティング ID: {{meeting_id}}
パスコード: {{passcode}}"
万垢生限定オン会（間もなく開始）,"@everyone

# まもなく{{time}}より万垢生&講師限定オン会が始まります✨
▼Zoomリンクはこちら▼
{{zoom_url}}
ミーティング ID: {{meeting_id}}
パスコード: {{passcode}}"
